,ScanOrder,Original order,Order in fixture,Scan/-Fixture,Geno,Row,Plant,WR_number,WR,WR_LEcheck,WR_AHcheck,Root,RatiobyPlant,TWRRatio,MWRRatio,BWRRatio,CT notes,ai 1 (dont use),bi1(dont use),ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,Majorthicc2,MinorThicc2,CT_Error,K,BL,UL,test notes,MOI_solid,E_MPa,E_GPa,MOItruex,MOItruey,MOI_true_average,,,,,,,
,29,29,,1-Norm1,GT112,1323,2,2,MWR,,,2,0.190973,,0.847104587,,Scanned 7/2,,,0.381,0.992,1.161,2.495,4.99,2.322,,,,,,265.10364,12.41344,24.2517,,3.066599712,8848.387368,8.848387368,,,,,,,,,,
,30,30,,1-Norm1,GT112,1323,7,2,MWR,,,2,0.538763,,0.953242682,,Scanned 7/2,,,0.096,1.587,0.726,2.17,4.34,1.452,,,,,,169.5905,12.80221,19.24961,,0.652167988,26616.29308,26.61629308,,,,,,,,,,
,31,31,,1-Norm1,GT112,1326,1,1,MWR,,,1,0.637695,,0.936983554,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT1,243.40056,16.8417,21.15791,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,32,32,,1-Norm1,GT112,1326,1,1,MWR,,,2,0.637695,,0.936983554,,Scanned 7/2,,,0.115,1.407,0.648,1.916,3.832,1.296,,,,,,141.07452,14.30291,18.48422,,0.409458983,35264.98507,35.26498507,,,,,,,,,,
,33,33,,1-Norm1,GT112,1326,1,1,MWR,,,3,0.637695,,0.936983554,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT1,176.56611,14.18461,21.14114,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,34,34,,1-Norm1,GT112,1326,1,1,MWR,,,4,0.637695,,0.936983554,,Scanned 7/2,,,0.125,1.14,0.651,1.703,3.406,1.302,,,,,,174.96897,10.9525,23.76413,,0.369017953,48530.98064,48.53098064,,,,,,,,,,
,35,35,,1-Norm1,GT112,1326,1,2,BWR,,,1,0.637695,,,0.68058327,Scanned 7/2,,,0.374,1.174,1.097,1.77,3.54,2.194,,,,,,193.41308,11.08252,18.33387,,1.835198436,10787.19022,10.78719022,,,,,,,,,,
,36,36,,1-Norm1,GT112,1326,5,1,TWR,,,1,0.365004,0.887615516,,,Scanned 7/2,,,0.079,1.241,0.545,1.735,3.47,1.09,,,,,,136.36657,4.18708,12.16109,,0.220586468,63275.35295,63.27535295,,,,,,,,,,
,37,37,,1-Norm1,GT112,1326,5,1,TWR,,,2,0.365004,0.887615516,,,Scanned 7/2,,,0.354,0.996,0.768,1.683,3.366,1.536,,,,,,116.85944,2.96216,8.08172,,0.598766725,19976.14447,19.97614447,,,,,,,,,,
,38,38,,1-Norm1,GT112,1326,5,1,TWR,,,3,0.365004,0.887615516,,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT4,101.00933,1.35696,9.5656,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,39,39,,1-Norm1,GT112,1326,5,1,TWR,,,4,0.365004,0.887615516,,,Scanned 7/2,,,0.231,0.946,0.667,1.271,2.542,1.334,,,,,,113.86672,2.9564,8.35683,,0.296219015,39344.98679,39.34498679,,,,,,,,,,
,40,40,,1-Norm1,GT112,1326,8,1,MWR,,,1,0.67702,,1.025950028,,Scanned 7/2,,,0.72,1.332,1.414,2.035,4.07,2.828,,,,,,184.69444,13.24258,14.51191,,4.518585697,4183.664261,4.183664261,,,,,,,,,,
,41,41,,1-Norm1,GT112,1326,8,1,MWR,,,2,0.67702,,1.025950028,,Scanned 7/2,,,0.073,1.215,0.488,1.819,3.638,0.976,,,,,,199.24786,8.83013,16.06391,,0.166028271,122833.5903,122.8335903,,,,,,,,,,
