"","ID","Brace.Root.Whorls.in.the.Soil","WR_CHR","Geno","Row","Plant","ai2","bi2","ao","bo","K","BL","UL","MOItruex","MOItruey","MOI_solid_AH","MOI_hollow_AH","E_Mpa_AH","E_GPa_AH","MinorD_AH","MajorD_AH"
"25","A632_1321_8","2","Middle","A632","1321"," 8",0.653666666666667,1.162,1.256,1.614,83.3477533333333,4.66259,6.00583,3.9467937,3.24605023333333,2.51159448822182,2.25670482843612,3396.64299948836,3.39664299948836,2.512,3.228
"26","A632_1321_9","2","Bottom","A632","1321"," 9",0.5915,0.818,2.151,2.622,163.60466,11.90842,17.802375,16.9492505,18.29936175,20.4942009971558,20.361249074158,817.090582814488,0.817090582814489,4.302,5.244
"27","A632_1321_9","2","Middle","A632","1321"," 9",0.646,1.40375,1.212,1.861,89.010025,6.3070425,7.52562,5.607862875,3.852444225,2.60214387441761,2.30493320493885,3501.16956384405,3.50116956384405,2.424,3.722
"28","A632_1392_4","2","Middle","A632","1392"," 4",0.737,1.0995,1.338,1.7735,73.1908775,4.88078,7.1240625,3.258089275,3.334084825,3.33638842506525,2.99070801379786,2245.35944850848,2.24535944850848,2.676,3.547
"29","A632_1395_1","1","Bottom","A632","1395"," 1",0.7355,1.189,1.675,2.0565,106.348795,5.53459,10.77109,5.3730371,6.35461315,7.59014758786816,7.21860640575732,1434.12788252336,1.43412788252336,3.35,4.113
"30","A632_1395_2","2","Middle","A632","1395"," 2",0.0425,0.07,2.107,2.751,148.37322,16.961865,18.49974,17.73315525,17.28500065,20.2097652972577,20.2097610769716,751.44946343393,0.75144946343393,4.214,5.502
"31","A632_1395_3","2","Middle","A632","1395"," 3",0.323333333333333,0.880333333333333,1.596,2.501,91.1537133333333,8.29677333333333,11.6225233333333,11.3005668333333,8.6288058,7.98526669588653,7.96189578400965,1168.39708955641,1.16839708955641,3.192,5.002
"32","A632_1395_4","2","Bottom","A632","1395"," 4",0.925,1.486,1.53,2.251,116.84515,2.97622,8.86488,6.8364388,4.9918097,6.33179521288012,5.40811619078247,1888.81471292115,1.88881471292115,3.06,4.502
"33","A632_1395_4","2","Middle","A632","1395"," 4",0.15125,0.974,0.7625,1.73675,103.347025,4.1806925,5.74763,1.7024633,2.0918416,0.604691584166321,0.602044777745139,17493.2129011484,17.4932129011484,1.525,3.4735
"34","A632_1395_5","2","Middle","A632","1395"," 5",0.35325,0.71375,1.76425,2.32675,127.5513075,13.31865,15.074765,14.39471815,10.93638505,10.0347642432166,10.0100544161747,1301.01788841044,1.30101788841044,3.5285,4.6535
