Geno,Plant,WR,Root,K,BL,UL,Testing Notes,DCMax,DCMin,a,b,MOI,E_MPa,E_GPa,,,,,,,,,,,,,,
A632,2,1,2,89.56487,,18.09904,no BL,4.95,4.5,2.25,2.475,22.14178549,414.0288341,0.414028834,,,,,,,,,,,,,,
A632,2,1,3,88.6682,,20.61802,no BL,4.6,4.16,2.08,2.3,16.2557766,558.2975174,0.558297517,,,,,,,,,,,,,,
A632,2,1,4,,,,,4.23,3.95,1.975,2.115,12.79680502,0,0,,,,,,,,,,,,,,
A632,2,2,1,179.69302,41.62061,42.14031,good test,5.24,4.75,2.375,2.62,27.56652447,667.1979756,0.667197976,,,,,,,,,,,,,,
A632,2,2,2,174.50185,31.96914,37.37822,good test,5.86,5.45,2.725,2.93,46.56472276,383.5734518,0.383573452,,,,,,,,,,,,,,
A632,3,1,1,78.91307,10.38214,10.757,good test,3.04,2.87,1.435,1.52,3.527679916,2289.62993,2.28962993,,,,,,,,,,,,,,
A632,3,1,2,102.77557,,,no UL BL,3.46,3.05,1.525,1.73,4.818873386,2182.980746,2.182980746,,,,,,,,,,,,,,
A632,3,1,3,95.45989,8.30664,13.12558,good test,3.13,3.05,1.525,1.565,4.359269855,2241.365599,2.241365599,,,,,,,,,,,,,,
A632,3,1,4,,,,,3.21,3.12,1.56,1.605,4.785625537,0,0,,,,,,,,,,,,,,
A632,3,2,1,163.60082,14.19326,20.57138,good test,4.01,3.44,1.72,2.005,8.012897716,2089.78402,2.08978402,,,,,,,,,,,,,,
A632,3,2,2,184.96057,20.97877,23.61683,good test,5.52,5.27,2.635,2.76,39.65891442,477.3576203,0.47735762,,,,,,,,,,,,,,
A632,3,2,3,281.7658,25.95324,32.53975,good test,5.21,4.57,2.285,2.605,24.40935042,1181.510493,1.181510493,,,,,,,,,,,,,,
A632,4,1,1,158.85795,,,no BL UL,3.93,3.37,1.685,1.965,7.383327823,2202.228247,2.202228247,,,,,,,,,,,,,,
A632,4,1,2,71.2065,,12.842,no BL,3.15,2.87,1.435,1.575,3.655326229,1993.88003,1.99388003,,,,,,,,,,,,,,
A632,4,1,3,146.33102,8.88126,19.97952,good test,3.8,3.48,1.74,1.9,7.861243111,1905.244425,1.905244425,,,,,,,,,,,,,,
A632,4,1,4,,,,,3.62,3.56,1.78,1.81,8.017306062,0,0,,,,,,,,,,,,,,
A632,4,2,1,126.05381,14.58288,31.57062,good test,5.31,4.71,2.355,2.655,27.23498505,473.7337896,0.47373379,,,,,,,,,,,,,,
A632,4,2,2,190.47091,35.9991,40.85575,good test,4.92,4.82,2.41,2.46,27.04432312,720.871851,0.720871851,,,,,,,,,,,,,,
A632,4,2,3,89.08081,13.25607,21.49355,good test,4.95,4.19,2.095,2.475,17.87381121,510.1201956,0.510120196,,,,,,,,,,,,,,
A632,4,2,4,,,,,5.67,4.92,2.46,2.835,33.14730817,0,0,,,,,,,,,,,,,,
A632,4,3,1,111.54377,,17.03254,no BL,3.99,3.57,1.785,1.995,8.911430876,1281.160095,1.281160095,,,,,,,,,,,,,,
A632,4,3,2,254.60545,39.27019,45.64647,good test,5.43,5.19,2.595,2.715,37.26248394,699.361017,0.699361017,,,,,,,,,,,,,,
