General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{C92BE010-6F3F-4765-990D-D61F34C75BA7}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P4 W1 3"
Break (Standard) : Load at Break (Standard),"12.17155",N
Maximum Load : Maximum Load,"19.34379",N

Time,Extension,Load
(s),(mm),(N)
"32.90000","0.54811","4.77424"
"33.00000","0.54957","4.78155"
"33.10000","0.55142","4.80424"
"33.20000","0.55329","4.82516"
"33.30000","0.55483","4.83370"
"33.40000","0.55647","4.84742"
"33.50000","0.55816","4.86346"
"33.60000","0.55979","4.87701"
"33.70000","0.56140","4.89015"
"33.80000","0.56300","4.90367"
"33.90000","0.56458","4.91609"
"34.00000","0.56621","4.93130"
"34.10000","0.56789","4.94722"
"34.20000","0.56955","4.96228"
"34.30000","0.57122","4.97639"
"34.40000","0.57287","4.99020"
"34.50000","0.57454","5.00535"
"34.60000","0.57620","5.01974"
"34.70000","0.57792","5.03586"
"34.80000","0.57959","5.04918"
"34.90000","0.58135","5.06708"
"35.00000","0.58323","5.08800"
"35.10000","0.58500","5.10449"
"35.20000","0.58660","5.11494"
"35.30000","0.58817","5.12624"
"35.40000","0.58977","5.13846"
"35.50000","0.59128","5.14764"
"35.60000","0.59284","5.16032"
"35.70000","0.59439","5.17256"
"35.80000","0.59603","5.18793"
"35.90000","0.59770","5.20349"
"36.00000","0.59938","5.21945"
"36.10000","0.60107","5.23556"
"36.20000","0.60284","5.25402"
"36.30000","0.60450","5.26759"
"36.40000","0.60632","5.28747"
"36.50000","0.60809","5.30384"
"36.60000","0.60975","5.31729"
"36.70000","0.61144","5.33167"
"36.80000","0.61310","5.34495"
"36.90000","0.61479","5.35936"
"37.00000","0.61657","5.37726"
"37.10000","0.61821","5.38779"
"37.20000","0.61977","5.39786"
"37.30000","0.62136","5.41016"
"37.40000","0.62299","5.42316"
"37.50000","0.62450","5.43217"
"37.60000","0.62600","5.44154"
"37.70000","0.62762","5.45632"
"37.80000","0.62935","5.47394"
"37.90000","0.63103","5.48882"
"38.00000","0.63268","5.50199"
"38.10000","0.63428","5.51424"
"38.20000","0.63598","5.52891"
"38.30000","0.63775","5.54710"
"38.40000","0.63945","5.56121"
"38.50000","0.64116","5.57568"
"38.60000","0.64287","5.58938"
"38.70000","0.64455","5.60262"
"38.80000","0.64621","5.61504"
"38.90000","0.64790","5.62946"
"39.00000","0.64968","5.64484"
"39.10000","0.65135","5.65677"
"39.20000","0.65295","5.66672"
"39.30000","0.65457","5.67874"
"39.40000","0.65618","5.69012"
"39.50000","0.65774","5.70013"
"39.60000","0.65935","5.71313"
"39.70000","0.66110","5.73170"
"39.80000","0.66288","5.74911"
"39.90000","0.66451","5.76119"
"40.00000","0.66616","5.77384"
"40.10000","0.66788","5.78846"
"40.20000","0.66954","5.80092"
"40.30000","0.67118","5.81140"
"40.40000","0.67280","5.82206"
"40.50000","0.67440","5.83257"
"40.60000","0.67598","5.84222"
"40.70000","0.67758","5.85348"
"40.80000","0.67929","5.86935"
"40.90000","0.68102","5.88410"
"41.00000","0.68280","5.90019"
"41.10000","0.68458","5.91677"
"41.20000","0.68622","5.92656"
"41.30000","0.68792","5.94065"
"41.40000","0.68965","5.95613"
"41.50000","0.69133","5.96882"
"41.60000","0.69304","5.98277"
"41.70000","0.69473","5.99595"
"41.80000","0.69641","6.00936"
"41.90000","0.69806","6.02130"
"42.00000","0.69968","6.03228"
"42.10000","0.70134","6.04608"
"42.20000","0.70297","6.05845"
"42.30000","0.70463","6.07176"
"42.40000","0.70630","6.08497"
"42.50000","0.70799","6.09937"
"42.60000","0.70965","6.11241"
"42.70000","0.71121","6.12113"
"42.80000","0.71282","6.13235"
"42.90000","0.71443","6.14483"
"43.00000","0.71633","6.16818"
"43.10000","0.71811","6.18381"
"43.20000","0.71973","6.19431"
"43.30000","0.72142","6.20833"
"43.40000","0.72310","6.22168"
"43.50000","0.72471","6.23389"
"43.60000","0.72636","6.24699"
"43.70000","0.72802","6.26028"
"43.80000","0.72970","6.27422"
"43.90000","0.73138","6.28887"
"44.00000","0.73302","6.30195"
"44.10000","0.73473","6.31694"
"44.20000","0.73645","6.33273"
"44.30000","0.73813","6.34703"
"44.40000","0.73984","6.36301"
"44.50000","0.74148","6.37432"
"44.60000","0.74301","6.38353"
"44.70000","0.74469","6.39915"
"44.80000","0.74639","6.41520"
"44.90000","0.74808","6.43043"
"45.00000","0.74982","6.44787"
"45.10000","0.75145","6.45870"
"45.20000","0.75306","6.47144"
"45.30000","0.75472","6.48423"
"45.40000","0.75635","6.49860"
"45.50000","0.75793","6.50936"
"45.60000","0.75946","6.51906"
"45.70000","0.76104","6.53220"
"45.80000","0.76267","6.54596"
"45.90000","0.76433","6.56038"
"46.00000","0.76598","6.57500"
"46.10000","0.76766","6.58950"
"46.20000","0.76940","6.60767"
"46.30000","0.77117","6.62536"
"46.40000","0.77281","6.63817"
"46.50000","0.77447","6.65146"
"46.60000","0.77612","6.66406"
"46.70000","0.77776","6.67661"
"46.80000","0.77948","6.69136"
"46.90000","0.78117","6.70553"
"47.00000","0.78289","6.71976"
"47.10000","0.78462","6.73365"
"47.20000","0.78636","6.74832"
"47.30000","0.78808","6.76261"
"47.40000","0.78976","6.77563"
"47.50000","0.79139","6.78709"
"47.60000","0.79309","6.80255"
"47.70000","0.79471","6.81451"
"47.80000","0.79636","6.82770"
"47.90000","0.79806","6.84456"
"48.00000","0.79991","6.86614"
"48.10000","0.80172","6.88491"
"48.20000","0.80351","6.90227"
"48.30000","0.80515","6.91319"
"48.40000","0.80671","6.92278"
"48.50000","0.80830","6.93499"
"48.60000","0.80995","6.94887"
"48.70000","0.81156","6.96170"
"48.80000","0.81314","6.97319"
"48.90000","0.81481","6.98756"
"49.00000","0.81652","7.00603"
"49.10000","0.81821","7.02118"
"49.20000","0.81981","7.03127"
"49.30000","0.82152","7.04705"
"49.40000","0.82306","7.05577"
"49.50000","0.82487","7.07768"
"49.60000","0.82651","7.09018"
"49.70000","0.82813","7.10472"
"49.80000","0.82977","7.11963"
"49.90000","0.83139","7.13258"
"50.00000","0.83303","7.14809"
"50.10000","0.83470","7.16251"
"50.20000","0.83637","7.17839"
"50.30000","0.83800","7.19149"
"50.40000","0.83965","7.20673"
"50.50000","0.84125","7.21946"
"50.60000","0.84285","7.23274"
"50.70000","0.84450","7.24723"
"50.80000","0.84616","7.26241"
"50.90000","0.84786","7.27848"
"51.00000","0.84954","7.29313"
"51.10000","0.85106","7.29991"
"51.20000","0.85284","7.32080"
"51.30000","0.85469","7.34021"
"51.40000","0.85644","7.35402"
"51.50000","0.85807","7.36540"
"51.60000","0.85972","7.37788"
"51.70000","0.86137","7.39248"
"51.80000","0.86304","7.40653"
"51.90000","0.86463","7.41708"
"52.00000","0.86620","7.42867"
"52.10000","0.86776","7.43969"
"52.20000","0.86938","7.45423"
"52.30000","0.87109","7.47105"
"52.40000","0.87276","7.48690"
"52.50000","0.87447","7.50349"
"52.60000","0.87615","7.51826"
"52.70000","0.87774","7.52912"
"52.80000","0.87968","7.55619"
"52.90000","0.88147","7.57310"
"53.00000","0.88318","7.58584"
"53.10000","0.88480","7.59567"
"53.20000","0.88642","7.60614"
"53.30000","0.88810","7.62025"
"53.40000","0.88975","7.63331"
"53.50000","0.89152","7.65175"
"53.60000","0.89312","7.66219"
"53.70000","0.89468","7.67196"
"53.80000","0.89630","7.68584"
"53.90000","0.89799","7.70271"
"54.00000","0.89962","7.71534"
"54.10000","0.90120","7.72770"
"54.20000","0.90287","7.74340"
"54.30000","0.90456","7.76067"
"54.40000","0.90619","7.77398"
"54.50000","0.90782","7.78748"
"54.60000","0.90954","7.80478"
"54.70000","0.91117","7.81640"
"54.80000","0.91279","7.82804"
"54.90000","0.91443","7.84106"
"55.00000","0.91605","7.85236"
"55.10000","0.91774","7.86716"
"55.20000","0.91944","7.88129"
"55.30000","0.92107","7.89308"
"55.40000","0.92275","7.90694"
"55.50000","0.92436","7.91773"
"55.60000","0.92593","7.92800"
"55.70000","0.92761","7.94368"
"55.80000","0.92926","7.95828"
"55.90000","0.93089","7.97097"
"56.00000","0.93257","7.98710"
"56.10000","0.93436","8.00667"
"56.20000","0.93614","8.02476"
"56.30000","0.93787","8.03991"
"56.40000","0.93962","8.05676"
"56.50000","0.94133","8.07112"
"56.60000","0.94302","8.08388"
"56.70000","0.94471","8.09750"
"56.80000","0.94637","8.10953"
"56.90000","0.94799","8.12088"
"57.00000","0.94960","8.13112"
"57.10000","0.95128","8.14534"
"57.20000","0.95300","8.16181"
"57.30000","0.95475","8.17865"
"57.40000","0.95635","8.18904"
"57.50000","0.95799","8.20170"
"57.60000","0.95964","8.21655"
"57.70000","0.96132","8.23157"
"57.80000","0.96296","8.24588"
"57.90000","0.96472","8.26464"
"58.00000","0.96638","8.27893"
"58.10000","0.96799","8.29111"
"58.20000","0.96959","8.30357"
"58.30000","0.97116","8.31431"
"58.40000","0.97280","8.32837"
"58.50000","0.97446","8.34387"
"58.60000","0.97610","8.35723"
"58.70000","0.97773","8.36997"
"58.80000","0.97938","8.38352"
"58.90000","0.98111","8.40080"
"59.00000","0.98282","8.41635"
"59.10000","0.98447","8.42916"
"59.20000","0.98610","8.44130"
"59.30000","0.98789","8.46100"
"59.40000","0.98961","8.47636"
"59.50000","0.99137","8.49284"
"59.60000","0.99308","8.50793"
"59.70000","0.99465","8.51673"
"59.80000","0.99617","8.52428"
"59.90000","0.99773","8.53525"
"60.00000","0.99941","8.55224"
"60.10000","1.00101","8.56380"
"60.20000","1.00266","8.57840"
"60.30000","1.00438","8.59477"
"60.40000","1.00608","8.61024"
"60.50000","1.00775","8.62537"
"60.60000","1.00952","8.64414"
"60.70000","1.01130","8.66275"
"60.80000","1.01311","8.68040"
"60.90000","1.01473","8.69033"
"61.00000","1.01626","8.69820"
"61.10000","1.01806","8.71909"
"61.20000","1.01996","8.74149"
"61.30000","1.02160","8.75112"
"61.40000","1.02321","8.76227"
"61.50000","1.02491","8.77720"
"61.60000","1.02641","8.78307"
"61.70000","1.02796","8.79400"
"61.80000","1.02954","8.80649"
"61.90000","1.03114","8.82028"
"62.00000","1.03279","8.83674"
"62.10000","1.03454","8.85676"
"62.20000","1.03627","8.87508"
"62.30000","1.03806","8.89589"
"62.40000","1.03981","8.91327"
"62.50000","1.04136","8.92196"
"62.60000","1.04314","8.94190"
"62.70000","1.04483","8.95690"
"62.80000","1.04651","8.97030"
"62.90000","1.04818","8.98331"
"63.00000","1.04995","9.00167"
"63.10000","1.05159","9.01358"
"63.20000","1.05317","9.02298"
"63.30000","1.05475","9.03416"
"63.40000","1.05640","9.04762"
"63.50000","1.05805","9.06223"
"63.60000","1.05965","9.07388"
"63.70000","1.06124","9.08668"
"63.80000","1.06285","9.10156"
"63.90000","1.06452","9.11779"
"64.00000","1.06625","9.13753"
"64.10000","1.06800","9.15694"
"64.20000","1.06962","9.16956"
"64.30000","1.07117","9.17878"
"64.40000","1.07286","9.19645"
"64.50000","1.07476","9.22246"
"64.60000","1.07653","9.23909"
"64.70000","1.07820","9.25136"
"64.80000","1.07984","9.26315"
"64.90000","1.08151","9.27678"
"65.00000","1.08314","9.28896"
"65.10000","1.08484","9.30427"
"65.20000","1.08644","9.31493"
"65.30000","1.08809","9.32798"
"65.40000","1.08975","9.34300"
"65.50000","1.09136","9.35532"
"65.60000","1.09291","9.36545"
"65.70000","1.09438","9.37238"
"65.80000","1.09614","9.39551"
"65.90000","1.09789","9.41580"
"66.00000","1.09956","9.43135"
"66.10000","1.10124","9.44578"
"66.20000","1.10287","9.45908"
"66.30000","1.10455","9.47417"
"66.40000","1.10618","9.48787"
"66.50000","1.10785","9.50321"
"66.60000","1.10954","9.51914"
"66.70000","1.11119","9.53218"
"66.80000","1.11288","9.54749"
"66.90000","1.11455","9.56143"
"67.00000","1.11625","9.57675"
"67.10000","1.11802","9.59580"
"67.20000","1.11981","9.61359"
"67.30000","1.12148","9.62543"
"67.40000","1.12309","9.63537"
"67.50000","1.12467","9.64564"
"67.60000","1.12627","9.65746"
"67.70000","1.12780","9.66641"
"67.80000","1.12957","9.68822"
"67.90000","1.13133","9.70861"
"68.00000","1.13301","9.72317"
"68.10000","1.13466","9.73590"
"68.20000","1.13621","9.74416"
"68.30000","1.13781","9.75668"
"68.40000","1.13948","9.77318"
"68.50000","1.14113","9.78725"
"68.60000","1.14279","9.80204"
"68.70000","1.14450","9.81937"
"68.80000","1.14624","9.83716"
"68.90000","1.14799","9.85497"
"69.00000","1.14960","9.86545"
"69.10000","1.15151","9.89112"
"69.20000","1.15325","9.90466"
"69.30000","1.15481","9.91195"
"69.40000","1.15651","9.92719"
"69.50000","1.15812","9.93756"
"69.60000","1.15964","9.94446"
"69.70000","1.16121","9.95620"
"69.80000","1.16280","9.96827"
"69.90000","1.16444","9.98355"
"70.00000","1.16605","9.99727"
"70.10000","1.16771","10.01307"
"70.20000","1.16941","10.03001"
"70.30000","1.17109","10.04530"
"70.40000","1.17274","10.05958"
"70.50000","1.17439","10.07264"
"70.60000","1.17610","10.08865"
"70.70000","1.17779","10.10375"
"70.80000","1.17947","10.11771"
"70.90000","1.18114","10.13135"
"71.00000","1.18305","10.15706"
"71.10000","1.18494","10.17889"
"71.20000","1.18659","10.18749"
"71.30000","1.18818","10.19613"
"71.40000","1.18982","10.20853"
"71.50000","1.19134","10.21515"
"71.60000","1.19297","10.22927"
"71.70000","1.19463","10.24451"
"71.80000","1.19623","10.25585"
"71.90000","1.19787","10.27026"
