General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{525303F0-5A9A-48A9-86B0-37E8C3DB49FB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P2 W1 3 (4 samples)"
Break (Standard) : Load at Break (Standard),"7.74457",N
Maximum Load : Maximum Load,"8.38266",N

Time,Extension,Load
(s),(mm),(N)
"29.10000","0.48444","5.24969"
"29.20000","0.48605","5.26086"
"29.30000","0.48770","5.27326"
"29.40000","0.48934","5.28485"
"29.50000","0.49099","5.29628"
"29.60000","0.49268","5.30863"
"29.70000","0.49423","5.31666"
"29.80000","0.49598","5.33065"
"29.90000","0.49781","5.34602"
"30.00000","0.49951","5.35652"
"30.10000","0.50117","5.36586"
"30.20000","0.50282","5.37555"
"30.30000","0.50446","5.38569"
"30.40000","0.50611","5.39602"
"30.50000","0.50778","5.40703"
"30.60000","0.50945","5.41825"
"30.70000","0.51108","5.42856"
"30.80000","0.51280","5.44122"
"30.90000","0.51449","5.45270"
"31.00000","0.51617","5.46439"
"31.10000","0.51788","5.47699"
"31.20000","0.51962","5.48966"
"31.30000","0.52139","5.50290"
"31.40000","0.52308","5.51348"
"31.50000","0.52474","5.52335"
"31.60000","0.52647","5.53620"
"31.70000","0.52829","5.55107"
"31.80000","0.53004","5.56317"
"31.90000","0.53169","5.57195"
"32.00000","0.53330","5.58038"
"32.10000","0.53489","5.58934"
"32.20000","0.53646","5.59784"
"32.30000","0.53807","5.60825"
"32.40000","0.53965","5.61703"
"32.50000","0.54120","5.62477"
"32.60000","0.54285","5.63782"
"32.70000","0.54450","5.64908"
"32.80000","0.54620","5.66171"
"32.90000","0.54782","5.67169"
"33.00000","0.54934","5.67817"
"33.10000","0.55100","5.69035"
"33.20000","0.55267","5.70158"
"33.30000","0.55433","5.71244"
"33.40000","0.55605","5.72405"
"33.50000","0.55774","5.73504"
"33.60000","0.55938","5.74386"
"33.70000","0.56102","5.75307"
"33.80000","0.56268","5.76274"
"33.90000","0.56430","5.77143"
"34.00000","0.56595","5.78011"
"34.10000","0.56757","5.78915"
"34.20000","0.56922","5.79829"
"34.30000","0.57094","5.80913"
