General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{C6FCA825-32AD-4DDF-8735-4037458D7A68}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W3 2"
Break (Standard) : Load at Break (Standard),"42.63090",N
Maximum Load : Maximum Load,"48.75054",N

Time,Extension,Load
(s),(mm),(N)
"36.10000","0.60098","16.76176"
"36.20000","0.60267","16.80680"
"36.30000","0.60433","16.84939"
"36.40000","0.60612","16.90601"
"36.50000","0.60790","16.95856"
"36.60000","0.60958","17.00241"
"36.70000","0.61135","17.05481"
"36.80000","0.61316","17.11080"
"36.90000","0.61495","17.16268"
"37.00000","0.61676","17.21744"
"37.10000","0.61839","17.25208"
"37.20000","0.61998","17.28653"
"37.30000","0.62160","17.32572"
"37.40000","0.62326","17.36866"
"37.50000","0.62486","17.40738"
"37.60000","0.62639","17.43933"
"37.70000","0.62801","17.48386"
"37.80000","0.62972","17.53723"
"37.90000","0.63138","17.58388"
"38.00000","0.63304","17.63026"
"38.10000","0.63462","17.66793"
"38.20000","0.63633","17.72134"
"38.30000","0.63811","17.78076"
"38.40000","0.63979","17.82652"
"38.50000","0.64143","17.86838"
"38.60000","0.64304","17.90791"
"38.70000","0.64473","17.95622"
"38.80000","0.64638","18.00089"
"38.90000","0.64805","18.04877"
"39.00000","0.64976","18.09842"
"39.10000","0.65143","18.14338"
"39.20000","0.65312","18.18912"
"39.30000","0.65480","18.23527"
"39.40000","0.65645","18.27786"
"39.50000","0.65808","18.31947"
"39.60000","0.65973","18.36456"
"39.70000","0.66135","18.40710"
"39.80000","0.66297","18.45192"
"39.90000","0.66456","18.49311"
"40.00000","0.66625","18.54511"
"40.10000","0.66796","18.59876"
"40.20000","0.66973","18.65820"
"40.30000","0.67137","18.70156"
"40.40000","0.67300","18.74554"
"40.50000","0.67467","18.79329"
"40.60000","0.67626","18.83206"
"40.70000","0.67787","18.87210"
"40.80000","0.67951","18.91750"
"40.90000","0.68120","18.96605"
"41.00000","0.68286","19.01067"
"41.10000","0.68456","19.05775"
"41.20000","0.68621","19.09919"
"41.30000","0.68788","19.14350"
"41.40000","0.68949","19.18199"
"41.50000","0.69125","19.23625"
"41.60000","0.69290","19.27809"
"41.70000","0.69450","19.31633"
"41.80000","0.69617","19.36324"
"41.90000","0.69791","19.41669"
"42.00000","0.69957","19.46105"
"42.10000","0.70120","19.50267"
"42.20000","0.70286","19.54635"
"42.30000","0.70446","19.58413"
"42.40000","0.70607","19.62480"
"42.50000","0.70774","19.67345"
"42.60000","0.70944","19.72323"
"42.70000","0.71118","19.77525"
"42.80000","0.71288","19.82021"
"42.90000","0.71457","19.86151"
"43.00000","0.71625","19.90186"
"43.10000","0.71772","19.92182"
"43.20000","0.71944","19.97174"
"43.30000","0.72139","20.04060"
"43.40000","0.72313","20.08433"
"43.50000","0.72476","20.11853"
"43.60000","0.72639","20.15737"
"43.70000","0.72803","20.19906"
"43.80000","0.72968","20.24233"
"43.90000","0.73130","20.28354"
"44.00000","0.73289","20.32147"
"44.10000","0.73451","20.36520"
"44.20000","0.73617","20.41348"
"44.30000","0.73791","20.46865"
"44.40000","0.73958","20.51450"
"44.50000","0.74125","20.55587"
"44.60000","0.74294","20.60208"
"44.70000","0.74463","20.64714"
"44.80000","0.74648","20.70908"
"44.90000","0.74815","20.75010"
"45.00000","0.74977","20.78577"
"45.10000","0.75140","20.82487"
"45.20000","0.75308","20.86940"
"45.30000","0.75475","20.91377"
"45.40000","0.75636","20.95052"
"45.50000","0.75798","20.98823"
"45.60000","0.75961","21.02923"
"45.70000","0.76119","21.06521"
"45.80000","0.76280","21.10617"
"45.90000","0.76449","21.15808"
"46.00000","0.76613","21.19873"
"46.10000","0.76777","21.24273"
"46.20000","0.76947","21.29449"
"46.30000","0.77120","21.34926"
"46.40000","0.77288","21.39719"
"46.50000","0.77459","21.44763"
"46.60000","0.77645","21.51078"
"46.70000","0.77826","21.56796"
"46.80000","0.77989","21.60288"
"46.90000","0.78147","21.63462"
"47.00000","0.78315","21.67825"
"47.10000","0.78486","21.72638"
"47.20000","0.78642","21.75716"
"47.30000","0.78801","21.79156"
"47.40000","0.78967","21.83491"
"47.50000","0.79135","21.88241"
"47.60000","0.79299","21.92455"
"47.70000","0.79458","21.96406"
"47.80000","0.79624","22.01006"
"47.90000","0.79790","22.05787"
"48.00000","0.79959","22.10948"
"48.10000","0.80141","22.17495"
"48.20000","0.80318","22.23450"
"48.30000","0.80484","22.27799"
"48.40000","0.80650","22.32291"
"48.50000","0.80817","22.36462"
"48.60000","0.80987","22.41305"
"48.70000","0.81152","22.45634"
"48.80000","0.81311","22.49121"
"48.90000","0.81468","22.52561"
"49.00000","0.81631","22.56766"
"49.10000","0.81791","22.60694"
"49.20000","0.81958","22.65396"
"49.30000","0.82125","22.70217"
"49.40000","0.82289","22.74521"
"49.50000","0.82456","22.78938"
"49.60000","0.82623","22.83413"
"49.70000","0.82788","22.87521"
"49.80000","0.82945","22.90898"
"49.90000","0.83118","22.96125"
"50.00000","0.83294","23.01665"
"50.10000","0.83465","23.06568"
"50.20000","0.83639","23.11888"
"50.30000","0.83809","23.16776"
"50.40000","0.83976","23.21330"
"50.50000","0.84138","23.25285"
"50.60000","0.84314","23.30767"
"50.70000","0.84481","23.35021"
"50.80000","0.84650","23.39585"
"50.90000","0.84826","23.44773"
"51.00000","0.84995","23.49302"
"51.10000","0.85152","23.52376"
"51.20000","0.85310","23.55847"
"51.30000","0.85481","23.60835"
"51.40000","0.85649","23.65115"
"51.50000","0.85815","23.68915"
"51.60000","0.85985","23.73404"
"51.70000","0.86144","23.76485"
"51.80000","0.86293","23.78622"
"51.90000","0.86448","23.81939"
"52.00000","0.86611","23.86182"
"52.10000","0.86772","23.89995"
"52.20000","0.86925","23.92743"
"52.30000","0.87081","23.95964"
"52.40000","0.87239","23.99460"
"52.50000","0.87407","24.03992"
"52.60000","0.87579","24.08840"
"52.70000","0.87752","24.13370"
"52.80000","0.87930","24.18317"
"52.90000","0.88103","24.23021"
"53.00000","0.88268","24.26489"
"53.10000","0.88450","24.31949"
"53.20000","0.88650","24.39342"
"53.30000","0.88821","24.42904"
"53.40000","0.88992","24.46718"
"53.50000","0.89163","24.50754"
"53.60000","0.89330","24.54530"
"53.70000","0.89481","24.56506"
"53.80000","0.89645","24.60569"
"53.90000","0.89812","24.64767"
"54.00000","0.89978","24.69049"
"54.10000","0.90140","24.72968"
"54.20000","0.90304","24.77040"
"54.30000","0.90473","24.81649"
"54.40000","0.90631","24.84928"
"54.50000","0.90794","24.88871"
"54.60000","0.90968","24.94154"
"54.70000","0.91157","25.01146"
"54.80000","0.91336","25.06422"
"54.90000","0.91488","25.08224"
"55.00000","0.91647","25.11365"
"55.10000","0.91810","25.14866"
"55.20000","0.91973","25.18784"
"55.30000","0.92138","25.22617"
"55.40000","0.92305","25.26629"
"55.50000","0.92465","25.29855"
"55.60000","0.92624","25.32973"
"55.70000","0.92786","25.36794"
"55.80000","0.92951","25.41374"
"55.90000","0.93120","25.46939"
"56.00000","0.93281","25.50363"
"56.10000","0.93447","25.54488"
"56.20000","0.93617","25.59187"
"56.30000","0.93783","25.63248"
"56.40000","0.93949","25.67281"
"56.50000","0.94128","25.72853"
"56.60000","0.94306","25.78295"
"56.70000","0.94481","25.82886"
"56.80000","0.94647","25.86403"
"56.90000","0.94810","25.89614"
"57.00000","0.94976","25.93383"
"57.10000","0.95141","25.96888"
"57.20000","0.95312","26.01280"
"57.30000","0.95479","26.05195"
"57.40000","0.95644","26.08770"
"57.50000","0.95804","26.11669"
"57.60000","0.95966","26.14936"
"57.70000","0.96120","26.18080"
"57.80000","0.96280","26.21348"
"57.90000","0.96446","26.25072"
"58.00000","0.96617","26.29759"
"58.10000","0.96779","26.33238"
"58.20000","0.96939","26.36356"
"58.30000","0.97103","26.40131"
"58.40000","0.97273","26.45150"
"58.50000","0.97444","26.49386"
"58.60000","0.97615","26.53603"
"58.70000","0.97786","26.58030"
"58.80000","0.97955","26.62104"
"58.90000","0.98121","26.65735"
"59.00000","0.98289","26.69571"
"59.10000","0.98460","26.74128"
"59.20000","0.98623","26.77141"
"59.30000","0.98790","26.80801"
"59.40000","0.98965","26.85500"
"59.50000","0.99131","26.88858"
"59.60000","0.99283","26.90738"
"59.70000","0.99445","26.94333"
"59.80000","0.99618","26.99141"
"59.90000","0.99795","27.04655"
"60.00000","0.99959","27.07943"
"60.10000","1.00121","27.11034"
"60.20000","1.00288","27.14995"
"60.30000","1.00458","27.19312"
"60.40000","1.00621","27.22578"
"60.50000","1.00781","27.25698"
"60.60000","1.00945","27.29289"
"60.70000","1.01116","27.33904"
"60.80000","1.01289","27.38666"
"60.90000","1.01460","27.42846"
"61.00000","1.01616","27.45017"
"61.10000","1.01810","27.52234"
"61.20000","1.01998","27.58166"
"61.30000","1.02155","27.59912"
"61.40000","1.02322","27.63175"
"61.50000","1.02484","27.65933"
"61.60000","1.02645","27.69085"
"61.70000","1.02809","27.72674"
"61.80000","1.02970","27.75887"
"61.90000","1.03133","27.79377"
"62.00000","1.03288","27.81669"
"62.10000","1.03448","27.85052"
"62.20000","1.03621","27.89989"
"62.30000","1.03784","27.93470"
"62.40000","1.03946","27.96867"
"62.50000","1.04116","28.01380"
"62.60000","1.04280","28.04790"
"62.70000","1.04446","28.08602"
"62.80000","1.04612","28.12394"
"62.90000","1.04785","28.16988"
"63.00000","1.04968","28.22686"
"63.10000","1.05149","28.27712"
"63.20000","1.05319","28.31299"
"63.30000","1.05490","28.35335"
"63.40000","1.05655","28.38609"
"63.50000","1.05807","28.40299"
"63.60000","1.05962","28.42972"
