Year,Row,Geno,Condition,Stage,Plant.ID,WR,Root,Section,K,BL,UL,ai2,bi2,ai,bi,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,MajorThicc2,MinorThicc2,MOI_solid,E_MPa_solid,E,MOI_hollow,E_MPa_hollow,E_GPa_hollow,MOI_hollow2,E_MPa_hollow2,E_GPa_hollow2,Condcolor,Sample,Grow
2019,,B73,Dry/Greenhouse,V13,P05,BWR,R3,S1,17.07333,5.25371,6.76002,0.435,0.589,0.787,1.102,0.978,1.279,2.558,1.956,0.177,0.191,0.69,0.543,0.939673523,1859.716615,1.859716615,0.51778698,3374.991127,3.374991127,0.901595627,1938.259694,1.938259694,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P05,MWR,R1,S1,23.21968,9.86007,14.55525,0.46,1.01,0.88,1.301,1.116,1.472,2.944,2.232,0.171,0.236,0.462,0.656,1.60690527,1479.011265,1.479011265,0.910575129,2610.032847,2.610032847,1.52969328,1553.665057,1.553665057,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P05,MWR,R3,S1,32.15792,13.80904,15.36241,0.535,1.082,0.98,1.456,1.19,1.668,3.336,2.38,0.212,0.21,0.586,0.655,2.207632667,1490.962311,1.490962311,1.131342225,2909.373512,2.909373512,2.07750235,1584.353011,1.584353011,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P05,TWR,R2,S1,10.66654,5.28457,5.73516,0.165,0.702,0.372,0.991,0.454,1.176,2.352,0.908,0.185,0.082,0.474,0.289,0.086430049,12631.77355,12.63177355,0.046362539,23548.42569,23.54842569,0.083953319,13004.42712,13.00442712,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P05,TWR,R4,S1,7.00095,4.05557,4.11456,0.077,0.613,0.511,0.911,0.64,1.095,2.19,1.28,0.184,0.129,0.482,0.563,0.225446721,3178.473393,3.178473393,0.129975833,5513.151055,5.513151055,0.225226923,3181.575243,3.181575243,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P05,TWR,R5,S1,10.15367,4.90455,6.03538,0.145,0.574,0.186,0.906,0.395,1.038,2.076,0.79,0.132,0.209,0.464,0.25,0.050243342,20684.7392,20.6847392,0.045664487,22758.83292,22.75883292,0.048868966,21266.47083,21.26647083,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P06,BWR,R3,S1,12.49943,7.67567,7.80353,0.32,0.755,0.684,1.339,0.969,1.53,3.06,1.938,0.191,0.285,0.775,0.649,1.09333347,1170.15419,1.17015419,0.756791864,1690.515983,1.690515983,1.073902845,1191.326336,1.191326336,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P06,BWR,R5,S1,29.61101,21.48403,21.49848,0.36,1.289,1.231,1.835,1.482,2.116,4.232,2.964,0.281,0.251,0.827,1.122,5.40941319,560.2844793,0.560284479,2.720974674,1113.869336,1.113869336,5.362179671,565.2198245,0.565219824,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P06,BWR,R6,S1,19.38325,2.43682,15.24441,0.7,1.03,1.146,1.578,1.291,1.909,3.818,2.582,0.331,0.145,0.879,0.591,3.226075571,614.9751788,0.614975179,1.360766797,1457.969437,1.457969437,2.948602254,672.8463964,0.672846396,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V14,P06,TWR,R1,S1,23.40239,17.56772,17.57174,0.06,1.056,0.511,1.674,0.782,1.919,3.838,1.564,0.245,0.271,0.863,0.722,0.72075077,3323.38476,3.32338476,0.545319085,4392.533091,4.392533091,0.720571624,3324.21101,3.32421101,indianred,Dry,Greenhouse
