General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{EEC498D4-7B12-493F-8C41-D095A7B2516F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 R1"
Break (Standard) : Load at Break (Standard),"23.08853",N
Maximum Load : Maximum Load,"27.32899",N

Time,Extension,Load
(s),(mm),(N)
"23.00000","0.38285","5.50223"
"23.10000","0.38455","5.52563"
"23.20000","0.38630","5.55144"
"23.30000","0.38801","5.57462"
"23.40000","0.38970","5.59714"
"23.50000","0.39142","5.62082"
"23.60000","0.39304","5.64066"
"23.70000","0.39478","5.66514"
"23.80000","0.39651","5.68908"
"23.90000","0.39822","5.71164"
"24.00000","0.39993","5.73442"
"24.10000","0.40154","5.75309"
"24.20000","0.40316","5.77232"
"24.30000","0.40480","5.79247"
"24.40000","0.40640","5.81136"
"24.50000","0.40800","5.83079"
"24.60000","0.40958","5.84974"
"24.70000","0.41112","5.86614"
"24.80000","0.41270","5.88392"
"24.90000","0.41433","5.90443"
"25.00000","0.41597","5.92378"
"25.10000","0.41749","5.93962"
"25.20000","0.41918","5.96313"
"25.30000","0.42090","5.98685"
"25.40000","0.42257","6.00803"
"25.50000","0.42428","6.03004"
"25.60000","0.42600","6.05265"
"25.70000","0.42768","6.07276"
"25.80000","0.42935","6.09328"
"25.90000","0.43100","6.11217"
"26.00000","0.43265","6.13066"
"26.10000","0.43432","6.15103"
"26.20000","0.43604","6.17310"
"26.30000","0.43770","6.19189"
"26.40000","0.43935","6.21175"
"26.50000","0.44107","6.23335"
"26.60000","0.44281","6.25518"
"26.70000","0.44451","6.27583"
"26.80000","0.44624","6.29788"
"26.90000","0.44794","6.31834"
"27.00000","0.44961","6.33763"
"27.10000","0.45136","6.36105"
"27.20000","0.45307","6.38279"
"27.30000","0.45468","6.40141"
"27.40000","0.45641","6.42528"
"27.50000","0.45820","6.45108"
"27.60000","0.45990","6.47322"
"27.70000","0.46155","6.49308"
"27.80000","0.46324","6.51545"
"27.90000","0.46491","6.53878"
"28.00000","0.46666","6.56315"
"28.10000","0.46841","6.58803"
"28.20000","0.47004","6.60752"
"28.30000","0.47167","6.62800"
"28.40000","0.47345","6.65608"
"28.50000","0.47525","6.68338"
"28.60000","0.47682","6.69990"
"28.70000","0.47845","6.72093"
"28.80000","0.48018","6.74645"
"28.90000","0.48180","6.76745"
"29.00000","0.48336","6.78524"
"29.10000","0.48491","6.80341"
"29.20000","0.48652","6.82603"
"29.30000","0.48805","6.84503"
"29.40000","0.48966","6.86904"
"29.50000","0.49132","6.89430"
"29.60000","0.49290","6.91537"
"29.70000","0.49450","6.93728"
"29.80000","0.49618","6.96446"
"29.90000","0.49783","6.98897"
"30.00000","0.49953","7.01601"
"30.10000","0.50124","7.04216"
"30.20000","0.50290","7.06594"
"30.30000","0.50466","7.09388"
"30.40000","0.50654","7.12691"
"30.50000","0.50830","7.15158"
"30.60000","0.50987","7.16774"
"30.70000","0.51147","7.18731"
"30.80000","0.51321","7.21415"
"30.90000","0.51482","7.23518"
"31.00000","0.51640","7.25460"
"31.10000","0.51801","7.27566"
"31.20000","0.51969","7.30010"
"31.30000","0.52125","7.31875"
"31.40000","0.52279","7.33746"
"31.50000","0.52444","7.36120"
"31.60000","0.52601","7.38073"
"31.70000","0.52771","7.40705"
"31.80000","0.52946","7.43467"
"31.90000","0.53113","7.45743"
"32.00000","0.53276","7.47837"
"32.10000","0.53439","7.49963"
"32.20000","0.53605","7.52256"
"32.30000","0.53771","7.54412"
"32.40000","0.53942","7.56842"
"32.50000","0.54116","7.59295"
"32.60000","0.54281","7.61253"
"32.70000","0.54445","7.63152"
"32.80000","0.54620","7.65651"
"32.90000","0.54789","7.67866"
"33.00000","0.54953","7.69735"
"33.10000","0.55120","7.71952"
"33.20000","0.55287","7.74119"
"33.30000","0.55449","7.76050"
"33.40000","0.55615","7.78239"
"33.50000","0.55784","7.80535"
"33.60000","0.55947","7.82605"
"33.70000","0.56116","7.85047"
"33.80000","0.56285","7.87384"
"33.90000","0.56455","7.89793"
"34.00000","0.56622","7.91853"
"34.10000","0.56783","7.93714"
"34.20000","0.56951","7.95878"
"34.30000","0.57119","7.98049"
"34.40000","0.57287","8.00134"
"34.50000","0.57455","8.02245"
"34.60000","0.57620","8.04285"
"34.70000","0.57790","8.06544"
"34.80000","0.57963","8.08977"
"34.90000","0.58134","8.11261"
"35.00000","0.58320","8.14228"
"35.10000","0.58494","8.16629"
"35.20000","0.58661","8.18718"
"35.30000","0.58829","8.21024"
"35.40000","0.58991","8.23071"
"35.50000","0.59153","8.25184"
"35.60000","0.59314","8.27225"
"35.70000","0.59469","8.29012"
"35.80000","0.59634","8.31469"
"35.90000","0.59797","8.33695"
"36.00000","0.59953","8.35573"
"36.10000","0.60121","8.38043"
"36.20000","0.60299","8.40859"
"36.30000","0.60473","8.43455"
"36.40000","0.60640","8.45736"
"36.50000","0.60806","8.47913"
"36.60000","0.60962","8.49686"
"36.70000","0.61140","8.52487"
"36.80000","0.61308","8.54727"
"36.90000","0.61466","8.56377"
"37.00000","0.61628","8.58358"
"37.10000","0.61790","8.60370"
"37.20000","0.61957","8.62652"
"37.30000","0.62119","8.64668"
"37.40000","0.62280","8.66555"
"37.50000","0.62435","8.68263"
"37.60000","0.62595","8.70308"
"37.70000","0.62757","8.72376"
"37.80000","0.62928","8.74923"
"37.90000","0.63107","8.77658"
"38.00000","0.63283","8.80173"
"38.10000","0.63444","8.81937"
"38.20000","0.63612","8.84063"
"38.30000","0.63788","8.86687"
"38.40000","0.63959","8.88914"
"38.50000","0.64134","8.91397"
"38.60000","0.64310","8.93848"
"38.70000","0.64478","8.95859"
"38.80000","0.64638","8.97559"
"38.90000","0.64809","8.99818"
"39.00000","0.64979","9.01991"
"39.10000","0.65137","9.03572"
"39.20000","0.65299","9.05555"
"39.30000","0.65469","9.08072"
"39.40000","0.65637","9.10360"
"39.50000","0.65793","9.12047"
"39.60000","0.65949","9.13740"
"39.70000","0.66109","9.15774"
"39.80000","0.66278","9.18215"
"39.90000","0.66445","9.20469"
"40.00000","0.66611","9.22609"
"40.10000","0.66790","9.25378"
"40.20000","0.66970","9.28015"
"40.30000","0.67139","9.30126"
"40.40000","0.67300","9.31753"
"40.50000","0.67468","9.33873"
"40.60000","0.67637","9.36008"
"40.70000","0.67802","9.37930"
"40.80000","0.67964","9.39753"
"40.90000","0.68127","9.41743"
"41.00000","0.68288","9.43651"
"41.10000","0.68460","9.46099"
"41.20000","0.68627","9.48309"
"41.30000","0.68787","9.50091"
"41.40000","0.68949","9.52062"
"41.50000","0.69123","9.54620"
"41.60000","0.69288","9.56563"
"41.70000","0.69455","9.58741"
"41.80000","0.69624","9.60952"
"41.90000","0.69794","9.63172"
"42.00000","0.69957","9.64997"
"42.10000","0.70117","9.66720"
"42.20000","0.70291","9.69226"
"42.30000","0.70453","9.71103"
"42.40000","0.70618","9.73113"
"42.50000","0.70784","9.75185"
"42.60000","0.70952","9.77404"
"42.70000","0.71122","9.79859"
"42.80000","0.71293","9.82184"
"42.90000","0.71469","9.84851"
"43.00000","0.71649","9.87711"
"43.10000","0.71820","9.89955"
"43.20000","0.71987","9.92023"
"43.30000","0.72155","9.94250"
"43.40000","0.72325","9.96554"
"43.50000","0.72485","9.98271"
"43.60000","0.72649","10.00412"
"43.70000","0.72816","10.02666"
"43.80000","0.72979","10.04703"
"43.90000","0.73136","10.06478"
"44.00000","0.73303","10.08743"
"44.10000","0.73468","10.10878"
"44.20000","0.73630","10.12901"
"44.30000","0.73795","10.15206"
"44.40000","0.73966","10.17756"
"44.50000","0.74142","10.20496"
"44.60000","0.74305","10.22403"
"44.70000","0.74467","10.24483"
"44.80000","0.74645","10.27373"
"44.90000","0.74812","10.29534"
"45.00000","0.74973","10.31437"
"45.10000","0.75150","10.34235"
"45.20000","0.75318","10.36317"
"45.30000","0.75473","10.37940"
"45.40000","0.75641","10.40451"
"45.50000","0.75804","10.42537"
"45.60000","0.75969","10.44819"
"45.70000","0.76135","10.47147"
"45.80000","0.76300","10.49535"
"45.90000","0.76471","10.52082"
"46.00000","0.76635","10.54203"
"46.10000","0.76797","10.56314"
"46.20000","0.76959","10.58467"
"46.30000","0.77135","10.61318"
"46.40000","0.77305","10.63782"
"46.50000","0.77477","10.66384"
"46.60000","0.77659","10.69378"
"46.70000","0.77823","10.71300"
"46.80000","0.77998","10.73928"
"46.90000","0.78172","10.76483"
"47.00000","0.78331","10.78143"
"47.10000","0.78484","10.79615"
"47.20000","0.78646","10.81644"
"47.30000","0.78803","10.83614"
