General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{78DC655F-DF33-4A6B-8575-2865BF350A6B}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P1 W2 1"
Break (Standard) : Load at Break (Standard),"20.59314",N
Maximum Load : Maximum Load,"24.77087",N

Time,Extension,Load
(s),(mm),(N)
"22.50000","0.37460","7.89909"
"22.60000","0.37647","7.93682"
"22.70000","0.37814","7.96517"
"22.80000","0.37966","7.98792"
"22.90000","0.38136","8.01969"
"23.00000","0.38307","8.04842"
"23.10000","0.38469","8.06727"
"23.20000","0.38636","8.09592"
"23.30000","0.38802","8.12563"
"23.40000","0.38958","8.15032"
"23.50000","0.39116","8.17692"
"23.60000","0.39284","8.20696"
"23.70000","0.39455","8.23616"
"23.80000","0.39615","8.24054"
"23.90000","0.39791","8.27708"
"24.00000","0.39966","8.31092"
"24.10000","0.40136","8.34103"
"24.20000","0.40299","8.36838"
"24.30000","0.40461","8.39545"
"24.40000","0.40626","8.42322"
"24.50000","0.40791","8.44975"
"24.60000","0.40955","8.46529"
"24.70000","0.41122","8.48995"
"24.80000","0.41286","8.51837"
"24.90000","0.41457","8.54921"
"25.00000","0.41620","8.57590"
"25.10000","0.41785","8.60310"
"25.20000","0.41950","8.62976"
"25.30000","0.42118","8.65638"
"25.40000","0.42292","8.68177"
"25.50000","0.42456","8.69954"
"25.60000","0.42619","8.72647"
"25.70000","0.42787","8.75559"
"25.80000","0.42965","8.78927"
"25.90000","0.43142","8.82034"
"26.00000","0.43314","8.84703"
"26.10000","0.43480","8.84547"
"26.20000","0.43637","8.87185"
"26.30000","0.43802","8.90111"
"26.40000","0.43966","8.92844"
"26.50000","0.44128","8.95449"
"26.60000","0.44291","8.98061"
"26.70000","0.44458","9.00947"
"26.80000","0.44634","9.04099"
"26.90000","0.44816","9.07299"
"27.00000","0.44977","9.08716"
"27.10000","0.45138","9.10980"
"27.20000","0.45319","9.14439"
"27.30000","0.45493","9.17468"
"27.40000","0.45661","9.20128"
"27.50000","0.45821","9.22465"
"27.60000","0.45986","9.24871"
"27.70000","0.46148","9.25681"
"27.80000","0.46311","9.28675"
"27.90000","0.46477","9.31743"
"28.00000","0.46643","9.34820"
"28.10000","0.46811","9.37894"
"28.20000","0.46970","9.40421"
"28.30000","0.47134","9.43091"
"28.40000","0.47303","9.45684"
"28.50000","0.47466","9.47390"
"28.60000","0.47638","9.50611"
